experiment_group,experiment_name,throughput_ops,db_size_mb,flush_count,flush_time_ms,compaction_count,compaction_time_ms,bytes_per_write,stall_micros
compression,compression_none,343232,1419,128,72915,7266478,18190,3537.531999,51375940
compression,compression_snappy,402191,850,129,76662,5946673,5342,3723.319660,68097433
compression,compression_lz4,410341,850,129,73381,6502084,8167,3683.129698,54464790
compression,compression_zstd,341087,911,129,92970,6529334,8517,3733.920961,72500176
memtable,memtable_64,391019,840,128,81196,7662282,8420,3689.031961,65547696
memtable,memtable_128,385497,994,64,83588,5305351,7870,3664.728704,63246735
memtable,memtable_256,409551,844,31,66336,4264096,4873,3556.820750,50048719
memtable,memtable_512,438391,1786,16,92929,2737520,8634,3498.942275,57625133
bgjobs,bgjobs_2,355103,870,129,76662,5946673,5342,3723.319660,68097433
bgjobs,bgjobs_4,409906,1012,128,101375,7521735,8724,3717.601643,86479801
bgjobs,bgjobs_8,454550,715,129,168077,7070879,12255,3666.173445,80631712
bgjobs,bgjobs_16,495149,847,129,158570,6408984,11623,3688.632269,74203198
cache,cache_512,404716,922,128,116377,7791215,8775,3711.143788,96906171
cache,cache_1024,457086,1116,128,100383,6924883,8645,3742.957520,85276313
cache,cache_2048,419413,858,129,98971,7884154,13847,3683.195221,85513106
cache,cache_4096,432363,846,128,108139,7808851,10711,3715.854431,94161479
directio,directio_off,448509,1006,128,102838,7830384,10575,3664.698566,84433901
directio,directio_on,92989,1121,128,100559,5255215,106405,3731.425432,94992505
compaction,compaction_level,443515,860,129,115125,8559419,11065,3713.897182,102960889
compaction,compaction_universal,389419,1683,128,127929,10274464,18577,3585.968936,109512273
compaction,compaction_fifo,4594395,38,129,39509,0,0,3751.090749,21937160
