scale,experiment_group,experiment_name,throughput_ops,db_size_mb,flush_count,flush_time_ms,compaction_count,compaction_time_ms,bytes_per_write,stall_micros,l0_files
10M,compression,compression_none,5107,28105,2572,3241311,259306020,3832943,8240.842480,21583793081,0
10M,compression,compression_snappy,(34000,3279000),26613,0,0,0,0,0,0,0
10M,compression,compression_lz4,(8000,1019000),11383,0,0,0,0,0,0,0
10M,compression,compression_zstd,(54000,436000),4918,0,0,0,0,0,0,0
10M,memtable,memtable_64,(64000,195000),2155,0,0,0,0,0,0,0
10M,memtable,memtable_128,(69000,69000),1037,0,0,0,0,0,0,0
10M,memtable,memtable_256,0,541,0,0,0,0,0,0,0
10M,memtable,memtable_512,0,541,0,0,0,0,0,0,0
10M,bgjobs,bgjobs_2,0,240,0,0,0,0,0,0,0
10M,bgjobs,bgjobs_4,0,117,0,0,0,0,0,0,0
10M,bgjobs,bgjobs_8,0,55,0,0,0,0,0,0,0
10M,bgjobs,bgjobs_16,0,55,0,0,0,0,0,0,0
10M,cache,cache_512,0,55,0,0,0,0,0,0,0
10M,cache,cache_1024,0,55,0,0,0,0,0,0,0
10M,cache,cache_2048,0,55,0,0,0,0,0,0,0
10M,cache,cache_4096,0,55,0,0,0,0,0,0,0
10M,directio,directio_off,0,55,0,0,0,0,0,0,0
10M,directio,directio_on,0,55,0,0,0,0,0,0,0
10M,compaction,compaction_level,0,55,0,0,0,0,0,0,0
10M,compaction,compaction_universal,0,55,0,0,0,0,0,0,0
10M,compaction,compaction_fifo,0,55,0,0,0,0,0,0,0
50M,compression,compression_none,0,55,0,0,0,0,0,0,0
50M,compression,compression_snappy,0,55,0,0,0,0,0,0,0
50M,compression,compression_lz4,0,55,0,0,0,0,0,0,0
50M,compression,compression_zstd,0,55,0,0,0,0,0,0,0
50M,memtable,memtable_64,0,55,0,0,0,0,0,0,0
50M,memtable,memtable_128,0,55,0,0,0,0,0,0,0
50M,memtable,memtable_256,0,55,0,0,0,0,0,0,0
50M,memtable,memtable_512,0,55,0,0,0,0,0,0,0
50M,bgjobs,bgjobs_2,0,55,0,0,0,0,0,0,0
50M,bgjobs,bgjobs_4,0,55,0,0,0,0,0,0,0
50M,bgjobs,bgjobs_8,0,55,0,0,0,0,0,0,0
50M,bgjobs,bgjobs_16,0,55,0,0,0,0,0,0,0
50M,cache,cache_512,0,55,0,0,0,0,0,0,0
50M,cache,cache_1024,0,55,0,0,0,0,0,0,0
50M,cache,cache_2048,0,55,0,0,0,0,0,0,0
50M,cache,cache_4096,0,55,0,0,0,0,0,0,0
50M,directio,directio_off,0,55,0,0,0,0,0,0,0
50M,directio,directio_on,0,55,0,0,0,0,0,0,0
50M,compaction,compaction_level,0,55,0,0,0,0,0,0,0
50M,compaction,compaction_universal,0,55,0,0,0,0,0,0,0
50M,compaction,compaction_fifo,0,55,0,0,0,0,0,0,0
100M,compression,compression_none,0,55,0,0,0,0,0,0,0
100M,compression,compression_snappy,0,55,0,0,0,0,0,0,0
100M,compression,compression_lz4,0,55,0,0,0,0,0,0,0
100M,compression,compression_zstd,0,55,0,0,0,0,0,0,0
100M,memtable,memtable_64,0,55,0,0,0,0,0,0,0
100M,memtable,memtable_128,0,55,0,0,0,0,0,0,0
100M,memtable,memtable_256,0,55,0,0,0,0,0,0,0
100M,memtable,memtable_512,0,55,0,0,0,0,0,0,0
100M,bgjobs,bgjobs_2,0,55,0,0,0,0,0,0,0
100M,bgjobs,bgjobs_4,0,55,0,0,0,0,0,0,0
100M,bgjobs,bgjobs_8,0,55,0,0,0,0,0,0,0
100M,bgjobs,bgjobs_16,0,55,0,0,0,0,0,0,0
100M,cache,cache_512,0,55,0,0,0,0,0,0,0
100M,cache,cache_1024,0,55,0,0,0,0,0,0,0
100M,cache,cache_2048,0,55,0,0,0,0,0,0,0
100M,cache,cache_4096,0,55,0,0,0,0,0,0,0
100M,directio,directio_off,0,55,0,0,0,0,0,0,0
100M,directio,directio_on,0,55,0,0,0,0,0,0,0
100M,compaction,compaction_level,0,55,0,0,0,0,0,0,0
100M,compaction,compaction_universal,0,55,0,0,0,0,0,0,0
100M,compaction,compaction_fifo,0,55,0,0,0,0,0,0,0
