scale,experiment_group,experiment_name,throughput_ops,db_size_mb,flush_count,flush_time_ms,compaction_count,compaction_time_ms,bytes_per_write,stall_micros,l0_files
logs,bgjobs,bgjobs_2,0,1,129,76662,5946673,5342,3723.319660,68097433,0
logs,compaction,compaction_level,0,1,129,115125,8559419,11065,3713.897182,102960889,0
logs,bgjobs,bgjobs_8,0,1,129,168077,7070879,12255,3666.173445,80631712,0
10M,compression,compression_none,4787,1,2572,3241311,259306020,3832943,8240.842480,21583793081,0
logs,memtable,memtable_512,0,1,16,92929,2737520,8634,3498.942275,57625133,0
logs,memtable,memtable_256,0,1,31,66336,4264096,4873,3556.820750,50048719,0
logs,directio,directio_off,0,1,128,102838,7830384,10575,3664.698566,84433901,0
logs,compaction,compaction_universal,0,1,128,127929,10274464,18577,3585.968936,109512273,0
logs,bgjobs,bgjobs_4,0,1,128,101375,7521735,8724,3717.601643,86479801,0
logs,compression,compression_none,0,1,128,72915,7266478,18190,3537.531999,51375940,0
logs,cache,cache_2048,0,1,129,98971,7884154,13847,3683.195221,85513106,0
logs,memtable,memtable_64,0,1,128,81196,7662282,8420,3689.031961,65547696,0
logs,cache,cache_512,0,1,128,116377,7791215,8775,3711.143788,96906171,0
logs,cache,cache_1024,0,1,128,100383,6924883,8645,3742.957520,85276313,0
logs,compression,compression_zstd,0,1,129,92970,6529334,8517,3733.920961,72500176,0
logs,memtable,memtable_128,0,1,64,83588,5305351,7870,3664.728704,63246735,0
logs,directio,directio_on,0,1,128,100559,5255215,106405,3731.425432,94992505,0
logs,compression,compression_lz4,0,1,129,73381,6502084,8167,3683.129698,54464790,0
logs,bgjobs,bgjobs_16,0,1,129,158570,6408984,11623,3688.632269,74203198,0
logs,compaction,compaction_fifo,0,1,129,39509,0,0,3751.090749,21937160,0
logs,cache,cache_4096,0,1,128,108139,7808851,10711,3715.854431,94161479,0
