"source","throughput","runtime_ms","p50_us","p99_us"
"tuning_pin_filters_on.log",0.0,62,,
"tuning_cache_512MB.log",0.0,63,,
"tuning_cache_2GB.log",0.0,57,,
"tuning_cache_4GB.log",0.0,58,,
"tuning_bloom_10bits.log",0.0,61,,
"tuning_direct_reads_off.log",0.0,57,,
"tuning_direct_reads_on.log",0.0,58,,
"tuning_pin_filters_off.log",0.0,65,,
"tuning_threads_4.log",0.0,60,,
"tuning_wal_async.log",0.0,58,,
"tuning_threads_1.log",0.0,58,,
"tuning_bloom_20bits.log",0.0,60,,
"tuning_threads_8.log",0.0,74,,
"tuning_bloom_5bits.log",0.0,58,,
"tuning_wal_sync_1MB.log",0.0,73,,
"tuning_pin_filters_on.log",0.0,62,,
"tuning_cache_512MB.log",0.0,63,,
"tuning_cache_2GB.log",0.0,57,,
"tuning_cache_4GB.log",0.0,58,,
"tuning_bloom_10bits.log",0.0,61,,
"tuning_direct_reads_off.log",0.0,57,,
"tuning_direct_reads_on.log",0.0,58,,
"tuning_pin_filters_off.log",0.0,65,,
"tuning_threads_4.log",0.0,60,,
"tuning_wal_async.log",0.0,58,,
"tuning_threads_1.log",0.0,58,,
"tuning_bloom_20bits.log",0.0,60,,
"tuning_threads_8.log",0.0,74,,
"tuning_bloom_5bits.log",0.0,58,,
"tuning_wal_sync_1MB.log",0.0,73,,
