dataset,workload,threads,throughput,read_p99_us,update_p99_us
1000000,workloada,4,5751.225010927327,1571,2491
1000000,workloada,8,7418.122473202033,2251,3563
1000000,workloada,16,7828.830451018922,3935,6039
1000000,workloadb,4,10087.153001936733,1585,2313
1000000,workloadb,8,9149.800534348351,2503,3685
1000000,workloadb,16,8319.605983460624,4559,6807
1000000,workloadc,4,9953.814301640388,1585,
1000000,workloadc,8,8843.609607697477,2487,
1000000,workloadc,16,7029.926396670627,4671,
1000000,workloadf,4,6053.232123292232,1450,1276
1000000,workloadf,8,7519.475441393209,2143,1870
1000000,workloadf,16,7803.842612102199,3919,3159
10000000,workloada,4,3506.323654711272,3501,4695
10000000,workloada,8,2584.0127133425494,6715,7851
10000000,workloada,16,2965.2121312758713,11775,13927
10000000,workloadb,4,5400.53033207861,2267,2963
10000000,workloadb,8,2776.990963671404,6171,7107
10000000,workloadb,16,3062.496363285569,12103,13863
10000000,workloadc,4,4703.513995305893,2493,
10000000,workloadc,8,2152.0649062775733,6683,
10000000,workloadc,16,2428.3455924313325,12359,
10000000,workloadf,4,3596.2685117921646,3095,1314
10000000,workloadf,8,2818.8150265391437,6075,2083
10000000,workloadf,16,2952.386857154667,12143,3747
50000000,workloada,4,940.0943666725266,22767,24895
50000000,workloada,8,1063.9927818729677,19663,20655
50000000,workloada,16,1110.5965347166923,24783,26239
50000000,workloadb,4,1204.4332780096981,8463,10391
50000000,workloadb,8,1505.2782582124219,11911,20607
50000000,workloadb,16,2111.7540228914136,10791,12487
50000000,workloadc,4,2629.1227931800554,2441,
50000000,workloadc,8,2990.913604469621,3947,
50000000,workloadc,16,3627.1572517754935,6363,
50000000,workloadf,4,4528.636835026289,1254,1130
50000000,workloadf,8,5929.439667951378,1870,1687
50000000,workloadf,16,,,
