param_type,param_value,data_size,throughput_ops,read_p99_us,db_size_mb,stall_micros
max_sst_file_base,16,8000000,11.900,95.201,403,
max_sst_file_base,32,8000000,14.712,117.694,362,
max_sst_file_base,64,8000000,17.311,138.488,381,
max_sst_file_base,128,8000000,13.558,108.462,371,
target_file_size,32,8000000,14.492,115.932,365,
target_file_size,64,8000000,16.679,133.434,375,
target_file_size,128,8000000,11.603,92.827,348,
target_file_size,256,8000000,11.501,92.008,348,
max_sst_file_base,16,10000000,10.119,101.186,488,
max_sst_file_base,32,10000000,14.037,140.366,472,
max_sst_file_base,64,10000000,8.971,89.705,437,
max_sst_file_base,128,10000000,11.775,117.747,443,
target_file_size,32,10000000,14.193,141.925,472,
target_file_size,64,10000000,7.791,77.906,424,
target_file_size,128,10000000,11.680,116.804,443,
target_file_size,256,10000000,15.779,157.790,537,
max_sst_file_base,16,50000000,12.708,635.414,2.1G,
max_sst_file_base,32,50000000,13.522,676.117,2.1G,
max_sst_file_base,64,50000000,15.373,768.671,2.3G,
max_sst_file_base,128,50000000,12.263,613.156,2.2G,
target_file_size,32,50000000,12.317,615.874,2.1G,
target_file_size,64,50000000,14.202,710.100,2.3G,
target_file_size,128,50000000,10.501,525.073,2.0G,
target_file_size,256,50000000,13.576,678.813,2.2G,
max_sst_file_base,16,100000000,,,3.9G,
max_sst_file_base,32,100000000,,,3.9G,
max_sst_file_base,64,100000000,,,3.8G,
max_sst_file_base,128,100000000,,,3.8G,
target_file_size,32,100000000,,,3.9G,
target_file_size,64,100000000,,,3.8G,
target_file_size,128,100000000,,,3.9G,
target_file_size,256,100000000,,,3.8G,
